player_name,player_type,match_format,avg,sr,last5_runs,high_score,wickets,econ,bowl_avg,catches,stumpings,matches,runs,total_balls_faced,balls_per_innings,score,cluster,levels,percent,percentile_score
A Kainessie,Batsman,T20,13.909090909090908,96.22641509433963,115.0,40.0,0.0,0.0,0.0,2.0,0.0,11.0,153.0,159.0,14.454545454545455,37.17712978845054,2,1,37.17712978845054,68.35094166283878
A Kalasi,Batsman,T20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0,0.0,6.361966008268259
A Kalasi,Bowler,T20,3.5,93.33333333333333,0.0,8.0,12.0,4.818181818181818,5.636363636363637,2.0,0.0,11.0,14.0,15.0,3.75,66.16363636363636,1,0,66.16363636363636,70.73544433094995
A Kamboj,Bowler,Test,0.0,0.0,0.0,0.0,1.0,4.94,89.0,0.0,0.0,1.0,0.0,3.0,3.0,-6.220000000000002,1,0,-6.220000000000002,4.0
A Kansonkho,Batsman,T20,1.0,40.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,4.0,2.0,5.0,2.5,7.626666666666667,1,0,7.626666666666667,18.121267799724393
A Kapoor,Batsman,T20,9.0,225.0,9.0,9.0,0.0,0.0,0.0,1.0,0.0,1.0,9.0,4.0,4.0,44.82,2,1,44.82,81.48828663298117
A Karn,Bowler,T20,4.0,57.14285714285714,4.0,4.0,1.0,7.75,31.0,0.0,0.0,1.0,4.0,7.0,7.0,20.15,1,0,20.15,3.881511746680286
A Kaul,Batsman,T20,6.375,87.93103448275862,38.0,28.0,4.0,1.7999999999999998,0.8522222222222222,2.0,0.0,9.0,51.0,58.0,7.25,23.81183908045977,2,1,23.81183908045977,42.673403766651354
A Khan,Bowler,T20,8.0,92.3076923076923,42.0,16.0,6.0,5.8025,5.8125,0.0,0.0,8.0,48.0,52.0,8.666666666666666,51.105000000000004,2,1,51.105000000000004,53.42185903983657
A Khan,Bowler,Test,0.0,0.0,0.0,0.0,1.0,4.23,122.0,0.0,0.0,1.0,0.0,0.0,0.0,-23.889999999999997,1,0,-23.889999999999997,1.5384615384615385
